Solucao	Gap	Tempo	Status Gurobi
873	0.01	0.14	2
Custos
Estoque	Setup
493	15500
J	T	M
10	8	3

Ocupacao de Maquinas Por Periodo
0.0	0.0	0.0	0.0	67.41	57.05	42.54	18.7	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	4.18	23.63	17.41	9.91	0.0	

Custos Estoque Por Periodo
6	0	0	47	138	184	118	0	

Item	T	Maq	Prod	Inv	Dem E	Dem I
1	1	1	0	0	119	0
1	1	2	0	0	119	0
1	1	3	119	0	119	0
1	2	1	0	0	104	0
1	2	2	0	0	104	0
1	2	3	104	0	104	0
1	3	1	0	0	65	0
1	3	2	0	0	65	0
1	3	3	65	0	65	0
1	4	1	0	47	81	0
1	4	2	0	47	81	0
1	4	3	128	47	81	0
1	5	1	0	138	93	0
1	5	2	0	138	93	0
1	5	3	184	138	93	0
1	6	1	0	159	97	0
1	6	2	0	159	97	0
1	6	3	118	159	97	0
1	7	1	0	102	107	0
1	7	2	0	102	107	0
1	7	3	50	102	107	0
1	8	1	0	0	104	0
1	8	2	0	0	104	0
1	8	3	2	0	104	0
2	1	1	0	0	24	0
2	1	2	0	0	24	0
2	1	3	143	0	24	0
2	2	1	118	0	14	0
2	2	2	0	0	14	0
2	2	3	0	0	14	0
2	3	1	81	0	16	0
2	3	2	0	0	16	0
2	3	3	0	0	16	0
2	4	1	0	0	28	0
2	4	2	0	0	28	0
2	4	3	156	0	28	0
2	5	1	0	0	13	0
2	5	2	0	0	13	0
2	5	3	197	0	13	0
2	6	1	134	0	16	0
2	6	2	0	0	16	0
2	6	3	0	0	16	0
2	7	1	77	10	17	0
2	7	2	0	10	17	0
2	7	3	0	10	17	0
2	8	1	17	0	25	0
2	8	2	0	0	25	0
2	8	3	0	0	25	0
3	1	1	140	0	21	0.0
3	1	2	0	0	21	0.0
3	1	3	0	0	21	143.0
3	2	1	133	0	29	118.0
3	2	2	0	0	29	0.0
3	2	3	0	0	29	0.0
3	3	1	87	0	22	81.0
3	3	2	0	0	22	0.0
3	3	3	0	0	22	0.0
3	4	1	156	0	28	0.0
3	4	2	0	0	28	0.0
3	4	3	0	0	28	156.0
3	5	1	207	0	23	0.0
3	5	2	0	0	23	0.0
3	5	3	0	0	23	197.0
3	6	1	152	9	25	134.0
3	6	2	0	9	25	0.0
3	6	3	0	9	25	0.0
3	7	1	61	0	20	77.0
3	7	2	0	0	20	0.0
3	7	3	0	0	20	0.0
3	8	1	19	0	17	17.0
3	8	2	0	0	17	0.0
3	8	3	0	0	17	0.0
4	1	1	143	0	24	0.0
4	1	2	0	0	24	0.0
4	1	3	0	0	24	143.0
4	2	1	123	0	19	118.0
4	2	2	0	0	19	0.0
4	2	3	0	0	19	0.0
4	3	1	92	0	27	81.0
4	3	2	0	0	27	0.0
4	3	3	0	0	27	0.0
4	4	1	141	0	13	0.0
4	4	2	0	0	13	0.0
4	4	3	0	0	13	156.0
4	5	1	199	0	15	0.0
4	5	2	0	0	15	0.0
4	5	3	0	0	15	197.0
4	6	1	150	13	19	134.0
4	6	2	0	13	19	0.0
4	6	3	0	13	19	0.0
4	7	1	57	0	20	77.0
4	7	2	0	0	20	0.0
4	7	3	0	0	20	0.0
4	8	1	16	0	14	17.0
4	8	2	0	0	14	0.0
4	8	3	0	0	14	0.0
5	1	1	149	0	15	0.0
5	1	2	9	0	15	0.0
5	1	3	0	0	15	143.0
5	2	1	134	0	25	118.0
5	2	2	9	0	25	0.0
5	2	3	0	0	25	0.0
5	3	1	0	0	15	81.0
5	3	2	96	0	15	0.0
5	3	3	0	0	15	0.0
5	4	1	82	0	20	0.0
5	4	2	94	0	20	0.0
5	4	3	0	0	20	156.0
5	5	1	74	0	25	0.0
5	5	2	74	0	25	0.0
5	5	3	74	0	25	197.0
5	6	1	49	0	13	134.0
5	6	2	49	0	13	0.0
5	6	3	49	0	13	0.0
5	7	1	36	5	24	77.0
5	7	2	36	5	24	0.0
5	7	3	34	5	24	0.0
5	8	1	12	0	12	17.0
5	8	2	12	0	12	0.0
5	8	3	0	0	12	0.0
6	1	1	157	0	18	140.0
6	1	2	4	0	18	0.0
6	1	3	0	0	18	0.0
6	2	1	4	0	25	133.0
6	2	2	139	0	25	0.0
6	2	3	0	0	25	0.0
6	3	1	0	0	22	87.0
6	3	2	103	0	22	0.0
6	3	3	0	0	22	0.0
6	4	1	82	0	18	156.0
6	4	2	92	0	18	0.0
6	4	3	0	0	18	0.0
6	5	1	74	0	19	207.0
6	5	2	74	0	19	0.0
6	5	3	68	0	19	0.0
6	6	1	55	0	25	152.0
6	6	2	55	0	25	0.0
6	6	3	49	0	25	0.0
6	7	1	30	0	13	61.0
6	7	2	30	0	13	0.0
6	7	3	30	0	13	0.0
6	8	1	17	0	17	19.0
6	8	2	17	0	17	0.0
6	8	3	0	0	17	0.0
7	1	1	13	0	23	140.0
7	1	2	150	0	23	0.0
7	1	3	0	0	23	0.0
7	2	1	27	0	21	133.0
7	2	2	127	0	21	0.0
7	2	3	0	0	21	0.0
7	3	1	0	0	13	87.0
7	3	2	100	0	13	0.0
7	3	3	0	0	13	0.0
7	4	1	80	0	17	156.0
7	4	2	93	0	17	0.0
7	4	3	0	0	17	0.0
7	5	1	76	0	19	207.0
7	5	2	76	0	19	0.0
7	5	3	74	0	19	0.0
7	6	1	57	0	18	152.0
7	6	2	57	0	18	0.0
7	6	3	56	0	18	0.0
7	7	1	39	0	17	61.0
7	7	2	39	0	17	0.0
7	7	3	0	0	17	0.0
7	8	1	19	0	22	19.0
7	8	2	22	0	22	0.0
7	8	3	0	0	22	0.0
8	1	1	0	6	19	143.0
8	1	2	165	6	19	0.0
8	1	3	0	6	19	0.0
8	2	1	0	0	20	123.0
8	2	2	147	0	20	0.0
8	2	3	0	0	20	0.0
8	3	1	0	0	23	92.0
8	3	2	110	0	23	0.0
8	3	3	0	0	23	0.0
8	4	1	0	0	21	141.0
8	4	2	104	0	21	0.0
8	4	3	73	0	21	0.0
8	5	1	65	0	24	199.0
8	5	2	83	0	24	0.0
8	5	3	83	0	24	0.0
8	6	1	55	3	18	150.0
8	6	2	59	3	18	0.0
8	6	3	59	3	18	0.0
8	7	1	41	1	23	57.0
8	7	2	41	1	23	0.0
8	7	3	0	1	23	0.0
8	8	1	18	0	18	16.0
8	8	2	18	0	18	0.0
8	8	3	0	0	18	0.0
9	1	1	11	0	13	143.0
9	1	2	145	0	13	0.0
9	1	3	0	0	13	0.0
9	2	1	13	0	22	123.0
9	2	2	132	0	22	0.0
9	2	3	0	0	22	0.0
9	3	1	108	0	16	92.0
9	3	2	0	0	16	0.0
9	3	3	0	0	16	0.0
9	4	1	94	0	18	141.0
9	4	2	65	0	18	0.0
9	4	3	0	0	18	0.0
9	5	1	76	0	17	199.0
9	5	2	76	0	17	0.0
9	5	3	64	0	17	0.0
9	6	1	59	0	18	150.0
